"","text","sentiment"
"240"," car hire business  expected  grow rapidly  people wake   travelling   post pandemic world zuru getzuru ","negative"
"241"," car hire business  expected  grow rapidly  people wake   travelling   post pandemic world  vaccine rollouts    lockdowns  resumption  air travel  car rental  expected  boom   people move   explore zuru getzuru ","negative"
"242"," online conferences   boring travelling  curtailed hate  pandemic ","negative"
"243","news people    travelling   lethal pandemic selfish  ignorant","negative"
"244","   zealand borders remain closed  prevent  spread   covid pandemic amp  safeguard  people    hope  enter  zealand     criticalpurposevisa  ","negative"
"245","telehealth means youre  travelling   appointment saving  money  carbon emissions greenhealthforum  telehealth    household name  covid    drivers    outside   pandemic","negative"
"246","ctp unoenthusiasts personally    wearing mine   started despite   im exempt    wear      wearing   comic convention    pandemic started    issue    continue        im travelling   safety ","neutral"
"247","railwaynorthern train  dbrg lgh express bathroomswashrooms  sinks   dirty   unhygienic  travelling   unhygienic   pandemicpls   needful","negative"
"248","gracescolleenb  rachels thanksgiving didnt   planned  gf caught  cold  people  fighting    didnt quarantine   gf       travelling   pandemic  left  families quarantine bubble","negative"
"249","introvertnacho waah thank   hope   enjoy  im   thinking  doing  alolan vacation theme    travelling  pandemic blues  stinging hard         played sm  dunno    stretch   days","neutral"
"250","dianemarieposts travelling   pandemic  definitely  risk      willing  accept  cope ","negative"
"251","jsphctrl          forced    vaccine    forbidden  travelling  enrolling  school   taking    public activity      vaccinated ramaphosa feb ","negative"
"252","ctvnewsvi   price  pay  travelling   global pandemic ","neutral"
"253","supertylerc  hope  pandemic completely  people travelling amp    office  sick","neutral"
"254","qualifyfor xedwards sorry aatos     political egos  darkening  heart youre  ports    pandemic  youre ok  people   infected  covid die kids  orphans time        wayi stand   religion  travelling  sin","negative"
"255"," focus  exports   dcfta   opportunity  georgia  travelling  meet  mayor  kutaisi  tbilisi yesterday massive improvements   road infrastructure  obvious    covid pandemic georgia   stop major infrastructure projects  ","negative"
"256","vokskan owenbarder     travelling  vaccinated         happening   pandemic   fishy","negative"
"257","travelling  tanzania   pandemic  luxury travel blog  luxurytravel ","neutral"
"258","travelling      office    missed   uk   respondents  similar   pleased   lost unwanted travel commuting   assumption       person  ","neutral"
"259","thisisaustralia  morning facebook   politely reminded   travelling     keynote speaker  mc   global pandemic swept  live events  conferences covid coronaviruspandemic coronavirusaustralia ","neutral"
"260","ctvottawa travelling     pandemic  playing russian roulette","negative"
"261","crowrivernet yaneerbaryam   wondering exactly      boarding  plane  travelling   pandemic       emergency reasons","negative"
"262","ghostpagliacci oh  don   book   definitely check    love love love travelling     pandemic       favorite book    doubt  little prince   tired  read     ","negative"
"263","  lil cry  travelling  america    time   ny  course   pandemic     tons  friends eat  finest italian food  north america watch    favourite hc bands     friend luxuryevii feeling emotional","negative"
"264","ppl living  firstworld countries    entitled amp selfish     pandemic continues re scheduling booster shots     rest   world   unvaccinated amp re travelling  bc     bc   cdnpoli onpoli  covax","negative"
"265","heathrowairport    experienced  appalling treatment particularly   am  nervous   pregnant woman travelling   global pandemic  don  try    special assistance lane      physical disability terrible heathrow","negative"
"266","piersmorgan    ones  berate people  travelling   pandemic    holiday  berated people  attending  gatherings     gathering  people ","neutral"
"267","piersmorgan coming     spent months preaching  travelling   pandemic    holiday ","negative"
"268"," pandemic     phases remember   guys  super holier  thou telling people   selfish  travelling    fuck    times","negative"
"269","myonlysecret     wallet    thinking     lot calvin     hard time   visit  unvaccinated dad   stress  travelling    pandemic  am glad    safely  home  hopefully  test   negative","negative"
"270","pofflesenpai  swear governments    purpose hell    prime minister   hour  variant  detected travel   shut  fuck  oh   travelling   pandemic thats  fucking fault","negative"
"271","  people travelling abroad   midst   global pandemic amp        allowed  travel  tough tactics  required    countries   failing union  force  outlier england  comply btw wear  mask reportingscotland ","negative"
"272","dobssi prifweinidog nicolasturgeon  fault  travelling   pandemic shouldnt  allowed   ","negative"
"273","travelling   pandemic    stressful           help      overseas holiday destination   offer rapid antigen tests  test results available  minutes   touch   ","negative"
"274","fnbsa travelling  close family  fnb ebucks    experience   easier despite  challenges   pandemic lovefnb ","negative"
"275","bdaveyphoto spainlover danwootton       holidays   abroad   family   pandemic     knowledge  testing  isolation requirements     change   time   pre warned  winter restrictions planning  travelling   ","neutral"
"276","paschald banquedefrance     tips   unhinged covidians     stay totally unafraid  travelling   raging pandemic","negative"
"277","jeffcallaway citizen   selfish   travelling     pandemic","negative"
"278","  people travelling     damn pandemic  love  travel      mess     feel      carrying               im  mad  covidvariant ","negative"
"279","hi  name  steveyde   decided    gaming  irl travelling streaming   international pandemic ggs ","negative"
"280","jobloobird westmidrailway andywm tahiralimp  doubt   people  using trains due    home  example im  travelling  brum   week    tge pandemic   days  week","negative"
"281","recordingacad third favorite   wizkid  afrobeats   listened   live performances  feel  im  vacation  travelling outside  country   listen   live performances   ive  stuck   home  months  pandemic","negative"
"282","bookworm  helping raise money    school library  school  travelling  equivalent journey   moon   cause close   heart reading books definitely helped     pandemic please help  kids raise  funds ","negative"
"283","top tips  travelling  kids post covid postcovidtravel travelwithkids kidstravel parentingtips pandemic bblogrt worldwelfarert bloggingtek ourblogginglife ","neutral"
"284","people complaining    selfisolate   return  ireland  britain      risks  travelling   global pandemic didn  understand","negative"
"285","silv anecdotal  mask compliance     commute  london    people travelling  earlier   pandemic ","negative"
"286"," uk  absolutely stupid   tell  reporting    people  probably expats    honest    money   travelling     pandemic  costs       entitlement stop  ","neutral"
"287","adamlawrence fuzzywuzzyto bethnov cat agreed ve ve followed  pandemic advice   advice  contradicts  previous advice   advice  runs counter   future advice  life    travelling  week  excited   ","negative"
"288","jacwilo neilhdn thejeremyvine  havent stop travelling  pandemic   wont yesterday  concert    amazing scientists boris   rest  sheeps    jump   perfectly crafted unvaccinated ","negative"
"289","ctvtoronto travelling   pandemic  risky  understand    family   trying  return  normal       isolate themselves   ","negative"
"290","msnbc travelling   pandemic   bad idea","negative"
"291","ctvtoronto    travelling   global pandemic     ","negative"
"292","robfreudenthal drjanaway   stop spreading misinformation  maskwearing  lockdowns  travelling restrictions     pandemic restrictions   esp    variant","negative"
"293","airlines log busiest days    thanksgiving  omicron poses  challenge wanderlust travelgram adventure travel travelling traveltheworld travel  plan plan  travel read   story  ","negative"
"294","bbcnews brace yourselves   judgemental serves    travelling   pandemic wankers ah theyre  ","negative"
"295","mirandalevycopy telegraphtravel     pandemicwhy    travelling  risking catchingtransmitting  deadly virusgtgt","negative"
"296","riayn          move house   pandemic       hey     getting      people travelling  london   oes","negative"
"297","shelaghfogarty  symptomatic   featherbedded      caller  travelling  italy  xmas   runofthemill  sort  exorbitant global swarming caused  pandemic amp  whats keeping  ","negative"
"298","aircanada shame shame shame advertisinfg discounted travel rates   ongoing pandemic  people   discouraged  travelling except  dire necessity especially  omicron   appearance","negative"
"299","bbcsport bbcmotd unnecessary travelling considering     global pandemic","negative"
"300","flaneurie travelling   global pandemic isnt  risk","negative"
"301","travelling  business   moment     love  leisure travel   pandemic        exhausting","negative"
"302","eveningstandard  morale   story travelling   global pandemic  risks   travel  accept  stay  home","negative"
"303"," travelling  north india   pandemic         theres   variant omicron   rising  europe     worried   india prepared drlahariya breaks    bbcindia ","neutral"
"304"," travelling interstate    time   start   pandemic   hours ahhhh","negative"
"305","jaems wish  pratically  life  soojung   living   pandemic lt   love travelling    hope jaemin      day  ","negative"
"306","stop travelling period unless      goodbye   ailing family   zero reason     means prolonging  pandemic   ","negative"
"307","derekke angrystaffer  smallpox pandemic       worldwide travel        remotely close    travelling  happens ","negative"
"308"," biggest fear    actually    borders travelling  getting stuck    outbreak    believe  australian  stuck overseas    pandemic started","negative"
"309","ah memories    day   dave  skipton beer festivalpre pandemic  travelling   train  local foods eaten smashing  ","neutral"
"310","yes  finally released enjoy   video travelling  bali   bit strange  visit bali  pandemic   basically  international tourist hotspot ","negative"
"311","rtenews    actually  people tested   enter ireland   positive     allowed board  plane governments    blamed   shambles      else    life    crazy  travelling   pandemic  mad","negative"
"312","singapore executions  family     weeks  arrange travel hotel quarantine   covid tests     enter singapore activists  highlighted  additional challenges  travelling   pandemic torture ","negative"
"313","ns     earlier stages   pandemic    people travelling  scotland  wales via airports  england     nations approach  requirements     ineffective   hope   nations agreement   reached","neutral"
"314","fm     earlier stages   pandemic    people travelling  scotland  wales via airports  england     nations approach  requirements     ineffective   hope   nations agreement   reached","neutral"
"315","burnsidenottosh  pesky botswanans travelling  chelmsford nottingham glasgow  canada  theres  global humanityending pandemic  ","negative"
"316","devongirl cartimandua gbnews  cant confirm        variant travelling   risky   start   pandemic amp im pretty   books  trip    mind","negative"
"317","aenemus anantsyd samanthamaiden naveenjrazik newscomauhq minimising pain  youre travelling   family   holiday  dont hold  monopoly    shit time   pandemic people   grateful  relatives  alive millions  coming   christmas  lost family  covid thousands  children dead","negative"
"318","snolen oh wow  sound entitled  luck  managing  anger snolen instead  fingers   maybe   look   own role     air travelling  pandemic  stepping    plane  potential exposure","negative"
"319","jbenedictbrown   guess stockholmmalm   business travelers   night trains   mountain    north   reflect  type  pandemic effects  business travelling  decreased  active holiday trips increased","neutral"
"320","   postpandemic return   workplace   opportunity  reestablish boundaries  home  job    colleagues   flesh    represents   pointless travelling  heightened health risks  hybridwork","negative"
"321"," travelling  northern india   forgiven  thinking  pandemic  passed    people  wearing masks   towns   fewer  practising social distancing  covid  rarely mentioned  conversation ","neutral"
"322","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia","negative"
"323","thehauntedhub dealing  pandemic requires society level medicine  individual   vaccinated booster shots following guidance mask wearing etc qpcr tested  travelling risks  lower  protection  unvaccinated fill itus stress health care selfish morons","negative"
"324","   funny  bts    concert       middle   pandemic     variant ppl  travelling overseas     concert  concert    cause  variant  wave blood    army  bts hands ptdonstagela","negative"
"325","rubyruprai hehe      ur guests visiting   pandemic travelling  airports  unsafe     pray ","negative"
"326","adamlevadam politicsforali telegraph  wearing  masks   protect  people innocently   essential everyday tasks   shopping  travelling     brainless mobs    crowded    pandemic","negative"
"327","irfandhalla umm    travel unless  essential   bloody pandemic    people travelling","negative"
"328","sallybundockbbc bbcone bbcnews bbcworld tbh people   thinking twice  travelling abroad   holiday excuse       pandemic tourist please dont complain   return         pcr amp self isolate   own cost","negative"
"329"," pretravel checks  vaccine passports  disembarkations    travel  changed forever join      ai amp ml   travelling smarter postpandemic click   register  smartertravel lenovochatshow wearelenovo ","positive"
"330","corona virus  india ready   third wave   approach  third    pandemic epidemiologist chandrakant lahariya writes   india  learn   fight  covid  travelling  india northern  ","negative"
"331","sallybundockbbc  personally      travelling         pandemic     grip amp bite  bullet    holiday abroad   own risk  dont moan      pcr  isolating","negative"
"332","    currently exists  possibility  cessation forget countries  origins  blaming nation  fuk heads    travelling        pandemic   global      try  own hand   variant ","negative"
"333","ctvnewsvi     worldwide pandemic  isnt obvious   months   people forget     disease     caught  spread   vaxxed people     brain   travelling  dont feel sorry     bit","negative"
"334","   preempt  hate ill probably   travelling abroad    days   goes dont  fucking bother okay  am taking  tests  ive filled   forms   past weeks    yall       pandemic","negative"
"335","lochsharona downingstreet borisjohnson sadly travelling   global pandemic  risks  travelling takes  risks","negative"
"336"," details     travelling  spread pandemic    understood  ignorance  airlines     beyond  understanding  reason ","neutral"
"337","ctvnewsvi beware  travelling   pandemic  guess ","negative"
"338","alexbloor stay  bracknell      anti stab vest   sense  humour travelling abroad   pandemic unless     sounds  bit daft","negative"
"339","facesneeker douchey jordanbpeterson     dad  brain damage  sending    sketchy unaccredited russian rehab   covid  travelling    pickup artist husband   height   pandemic id shut  fuck    rest   life","negative"
"340","fifthofwhiskey cindyintoronto jakesisko  highway raise  health care workers  child care program ltc nightmare fucked  vaxx distribution hiding  months  worse   pandemic mps travelling abroad  restrictions    ford        please unfollow ","negative"
"341","  fuck   travelling   pandemic    allowed  travel   pandemic ","negative"
"342","jarogiesbrecht  imagine   im  spit balling  people stop fecking travelling  nonessential reasons   deadly viral pandemic naaaaaaaaaaaaaaaaaaaaaaaaaaah","negative"
"343","hello  am  fascinated   world   beautiful    bc   pandemic travelling  meant  option  learn   cultures     talking abt ur culture  country please feel free  drop      love  swoon  ","negative"
"344","chriscraigman ain   truth    act   grown   travelling   global pandemic stay home","neutral"
"345","    doing getting   plane  travelling  seven fucking seas       pandemic    hell  overseas travel  allowed   privilege  white entitlement  crazy","negative"
"346","  words  frank sinatra oh          december   teen daughter arrives home  travelling  globe   pandemic  ","neutral"
"347","    acknowledged     pandemic   traveller   obese  travelling  covid  via conversationedu","negative"
"348","louderthanmitam  feel     hand im  happy       hand   thinking   reason   planes    army   travelling     unsafe        pandemic    gather people   spot","neutral"
"349","sukhvin newolddream downingstreet  live aboard     travelling   uk  christmas    family  understand    pandemic     means extra costs   risk  trip  cancelled  thats     except follow  rules   throw  toys    pram","negative"
"350","attention    pay   passenger locator form  travelling  covid pandemic  details below   guys  honest guide  ","negative"
"351","virginatlantic    cancellation policy  pandemic related cancelations travelling  america  january  worried   lock  causing issues   losing  flights  money ","negative"
"352","paulgall raging    expected travelling   global pandemic","negative"
"353","briggs davewallsworth downingstreet thats  chance    travelling   pandemic  forced   travel   ","negative"
"354","npr theres  worldwide pandemic    changed    getting worse    travelling  gathering       forever fine thedemocrats time  send  money","negative"
"355","crazy   people werent travelling halfway   world   ongoing pandemic   omicron variant wouldnt pose  threat   except south africa","negative"
"356","gd travel news snow  greeted skiers   ski slopes  resorts  reopened  italy     closure due   pandemic tourists using  ski lifts  wear masks  travelling    top   slopes   permitted      skiing ","neutral"
"357"," rode  chair   dude  seattle  meet  dad  ireland  yyc    ski st time   months  global ski teams amp people travelling    family    boarder closures   nonsensical pandemic theater","negative"
"358","newolddream downingstreet   youre travelling   pandemic    expect lucky  flight wasnt cancelled","negative"
"359","lbc tomswarbrick  feel  sorry  people travelling   pandemic   hotspot  disease   inconvenienced   issues    ","negative"
"360","thank  davetrafford newstalk  discussing  kelleygeophd travel  risk perceptions  canada   pandemic icymi  ","negative"
"361","   ban south africans  travelling   countrys health authorities  behaved responsibly  create  disincentive   countries  identify future variants  youll  concealment     china    start   pandemic","negative"
"362"," dont  ive     friends    rn partly  pandemic   argh  head     fear  loneliness amp  followed  negative  etc amp social rustiness surely  wont     travelling solo looking  connect","negative"
"363","drjacobsrad   actually broader travel restrictions    implemented   zero rationale  travelling       knee deep   pandemic  ","negative"
"364","noname sammwittings  course     faster  start     plane  land regardless  upheaval thats  tough  travelling   midst   pandemic","negative"
"365","searchingfor johnnysayy  hope hmg   lucky  time  testing  uk airports introduced late  pandemic  didnt   heard anecdotally  various friends travelling home   height   holiday season  queued  hrs   sailed    checks ","negative"
"366","   americasrepublicanparty    st century conservatism  travelling  remain  ur own countries   pandemic  somehow conservativethinkers don understand  meaning   pandemic   embrace logic     dumbness","negative"
"367","peterhotez   ban travelling     countries  people   currently vaccinated  stop  spread   pandemic","negative"
"368","  histories   pandemic  written people       foolish   pretend   weren living   deadly pandemic     insist  travelling  leisurely purposes ","negative"
"369","drzazlos travelling   pandemic   fiasco          pay   privilege  afraid","negative"
"370","bnodesk    ppl    travelling  fun   middle   pandemic  sarcasm merrychristmas covidiots","negative"
"371","hear     omicronvariant  actually  eu  november germany registered   netherlands recorded     start   pandemic austriadenmark amp france  looking   lockdowns  guess  kept travelling ","negative"
"372","munsterrugby travelling half    world   pandemic  meat heads  chase  egg       ","negative"
"373","lifesafeast sorry   goes     miss travelling  europe   vaxxed amp boosted  hesitate     trapped       control  travel tighted  sigh worldwide  vax rates      pandemic","negative"
"374","iamhappytoast iamian agree  shouldnt   law  people    seriously   dont    travelling   tube    pandemic     surprised   people    height    vax rollout   bother im glad  gonna  law","neutral"
"375","fosfusa hey gavreilly newschambers     news   travelling   pandemic   suppose     ff  fg   doesnt suit  agenda   hypocrisy   tabloid news org","negative"
"376","northcoast skynews yes      foreigners kept travelling  africa  aboard refusing getting vaccine  aboard    dont follow rules majority black native africans dont travel  pandemic     family  stopped  pandemic","neutral"
"377","imilia  honestly ridiculous  people  travelling   real reason  excuse     holiday   fucking pandemic","neutral"
"378","        travelling    world   pandemic  quarantining  airports  live   fucking island","negative"
"379","alankellylabour      infected  travelling freely   uk  ireland     politicians   band  experts    control  pandemic  super donnelly    eu countries  red list  mhq   dear masters  walk  streets safely","negative"
"380","jorurutan   due   pandemic concert travelling      goes  merch  cds ","negative"
"381"," commented  thejournalie poll   travelled abroad   start   pandemic ","negative"
"382","lbc tomswarbrick  travelling   pandemic   insurance  deal   situations tough   haven","neutral"
"383","      pretending   pandemic    governments russian roulette game   gone    times   tories sat   hoc nomasks  clown visiting  masks travelling  mask    sake   economy","negative"
"384","apparently  ppl    wear mask  shopping  tesco  travelling  train  pandemic  huge encroachment  civil liberties ve  doing  wo fail  march      inconvenience set   enormous benefits  ","neutral"
"385","belvandlander seriously   wasnt   actors travelling   pandemic  taking precautions     season  march contrary  common belief   human    holiday sometimes ","neutral"
"386","missrobinson gabrielsassoon nswhealth  passengers   trip  south africa   netherlands contact ed    plane     travelling  south africa  australia hours     day depending   route  stop    doesnt sound   perfect storm  pandemic potential","neutral"
"387","marksw     people    considerations     worldwide pandemic  follow  rules   wear  facecovering  travelling  avanti  ","negative"
"388","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia","negative"
"389","  travelling   pandemic etc","negative"
"390","oohh  won    nth queensland   grey nomads      travelling    pandemic  agree btw ","neutral"
"391","marctennant  paikin  seated    person  uk  despite breathing   air  hours  sent home  isolate  hours   amp  travelling  south africa sent  supervised quarantine   fortnight covidau leak route ","negative"
"392","  dua lipa didn    newsletter service  travel tips      travelling   world     pandemic  ","negative"
"393","missy    twice    pandemic     flu   son    people travelling  china  antibody test proved   covid    vaccines  son   caught  delta  elderly parents   slight cough   okay    test","negative"
"394","im    goes   holidays especially abroad im  lazy  holidays  involve effort isnt  holiday    understand   people miss travelling etc   cant understand  willingly boarding  aeroplane   pandemic   insane","neutral"
"395","   travelling           third    pandemic     vaccines  ","negative"
"396","indonesia badminton festival  bali looks   massive success perfect answer   pandemic maybe  model  future tournaments makes   travelling worthwhile  helps reduce carbon footprint","negative"
"397"," booking days  advance    situation statistically impossible unless  force    algorithms    obviously using  covid pandemic  families angst  travelling  gouge   push   spend  money  ease  minds","negative"
"398","hiddenhorcrux scottmorrisonmp   countries didnt stay locked         situation   vaccine hesitancysupply issues failure  build fit  purpose quarantine facilities  maybe travelling overseas   family     costs  living thru   pandemic","neutral"
"399","  people complaining   pcr test   ots codting  thats     travelling   pandemic sweetcheeks","negative"
"400","wordsbyjill  real pandemic     play     supposed      hear   difficult     family    sucks      people travelling recreationally        issue ","neutral"
"401",NA,"neutral"
